state,district,year_month,age_0_5,age_5_17,age_18_greater
100000,100000,2025-02,0,0,3
100000,100000,2025-03,0,0,1
100000,100000,2025-08,0,0,1
100000,100000,2025-09,0,0,1
100000,100000,2025-11,0,0,2
100000,100000,2025-12,0,0,2
Andaman & Nicobar Islands,Andamans,2025-01,2,1,0
Andaman & Nicobar Islands,Andamans,2025-02,1,0,0
Andaman & Nicobar Islands,Andamans,2025-04,3,0,0
Andaman & Nicobar Islands,Andamans,2025-09,3,1,0
Andaman & Nicobar Islands,Andamans,2025-11,3,0,0
Andaman & Nicobar Islands,Andamans,2025-12,1,0,0
Andaman & Nicobar Islands,Nicobars,2025-03,1,0,0
Andaman & Nicobar Islands,South Andaman,2025-01,3,0,0
Andaman & Nicobar Islands,South Andaman,2025-03,2,0,0
Andaman & Nicobar Islands,South Andaman,2025-04,2,0,0
Andaman & Nicobar Islands,South Andaman,2025-05,2,0,0
Andaman & Nicobar Islands,South Andaman,2025-08,1,0,0
Andaman & Nicobar Islands,South Andaman,2025-11,3,0,0
Andaman & Nicobar Islands,South Andaman,2025-12,1,0,0
Andaman And Nicobar Islands,Nicobar,2025-01,10,2,0
Andaman And Nicobar Islands,Nicobar,2025-02,4,1,0
Andaman And Nicobar Islands,Nicobar,2025-03,2,0,0
Andaman And Nicobar Islands,Nicobar,2025-04,4,0,0
Andaman And Nicobar Islands,Nicobar,2025-08,2,0,0
Andaman And Nicobar Islands,Nicobar,2025-09,0,2,0
Andaman And Nicobar Islands,Nicobar,2025-10,7,0,0
Andaman And Nicobar Islands,Nicobar,2025-11,2,0,0
Andaman And Nicobar Islands,Nicobar,2025-12,2,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,4,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,4,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,6,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,3,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,1,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,3,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,1,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,5,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,7,1,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,6,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,5,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,3,0,0
Andaman And Nicobar Islands,South Andaman,2025-01,8,0,0
Andaman And Nicobar Islands,South Andaman,2025-02,2,0,0
Andaman And Nicobar Islands,South Andaman,2025-03,3,1,0
Andaman And Nicobar Islands,South Andaman,2025-04,4,1,0
Andaman And Nicobar Islands,South Andaman,2025-05,6,0,0
Andaman And Nicobar Islands,South Andaman,2025-07,3,0,0
Andaman And Nicobar Islands,South Andaman,2025-08,12,0,0
Andaman And Nicobar Islands,South Andaman,2025-09,3,0,0
Andaman And Nicobar Islands,South Andaman,2025-10,3,2,0
Andaman And Nicobar Islands,South Andaman,2025-11,5,0,0
Andaman And Nicobar Islands,South Andaman,2025-12,3,0,0
Andhra Pradesh,Adilabad,2025-01,38,12,0
Andhra Pradesh,Adilabad,2025-02,67,23,0
Andhra Pradesh,Adilabad,2025-03,51,10,0
Andhra Pradesh,Adilabad,2025-04,30,3,0
Andhra Pradesh,Adilabad,2025-05,28,5,0
Andhra Pradesh,Adilabad,2025-06,40,3,0
Andhra Pradesh,Adilabad,2025-07,16,1,0
Andhra Pradesh,Adilabad,2025-08,58,12,0
Andhra Pradesh,Adilabad,2025-09,34,8,0
Andhra Pradesh,Adilabad,2025-10,44,12,0
Andhra Pradesh,Adilabad,2025-11,35,6,0
Andhra Pradesh,Adilabad,2025-12,32,10,0
Andhra Pradesh,Alluri Sitharama Raju,2025-01,15,0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-02,30,2,0
Andhra Pradesh,Alluri Sitharama Raju,2025-03,26,4,0
