state,district,year_month,age_0_5,age_5_17,age_18_greater,total_enrolment
100000,100000,2025-09,0,0,12,12
100000,100000,2025-10,0,1,0,1
100000,100000,2025-11,0,0,11,11
100000,100000,2025-12,0,0,194,194
Andaman & Nicobar Islands,Andamans,2025-09,23,4,0,27
Andaman & Nicobar Islands,Andamans,2025-10,15,0,0,15
Andaman & Nicobar Islands,Andamans,2025-11,13,0,0,13
Andaman & Nicobar Islands,Andamans,2025-12,19,1,0,20
Andaman & Nicobar Islands,Nicobars,2025-09,1,0,0,1
Andaman & Nicobar Islands,South Andaman,2025-09,15,0,0,15
Andaman & Nicobar Islands,South Andaman,2025-10,7,0,0,7
Andaman & Nicobar Islands,South Andaman,2025-11,8,0,0,8
Andaman & Nicobar Islands,South Andaman,2025-12,8,0,0,8
Andaman and Nicobar Islands,Nicobar,2025-09,41,6,0,47
Andaman and Nicobar Islands,Nicobar,2025-10,6,4,0,10
Andaman and Nicobar Islands,Nicobar,2025-11,12,0,0,12
Andaman and Nicobar Islands,Nicobar,2025-12,5,1,0,6
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,38,2,0,40
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,20,1,0,21
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,31,0,0,31
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,39,1,0,40
Andaman and Nicobar Islands,South Andaman,2025-09,54,4,0,58
Andaman and Nicobar Islands,South Andaman,2025-10,26,3,0,29
Andaman and Nicobar Islands,South Andaman,2025-11,45,3,0,48
Andaman and Nicobar Islands,South Andaman,2025-12,53,2,0,55
Andhra Pradesh,Adilabad,2025-09,523,131,0,654
Andhra Pradesh,Adilabad,2025-10,236,71,1,308
Andhra Pradesh,Adilabad,2025-11,286,63,0,349
Andhra Pradesh,Adilabad,2025-12,92,16,0,108
Andhra Pradesh,Alluri Sitharama Raju,2025-09,332,47,8,387
Andhra Pradesh,Alluri Sitharama Raju,2025-10,265,26,4,295
Andhra Pradesh,Alluri Sitharama Raju,2025-11,280,32,14,326
Andhra Pradesh,Alluri Sitharama Raju,2025-12,228,11,8,247
Andhra Pradesh,Anakapalli,2025-09,146,4,0,150
Andhra Pradesh,Anakapalli,2025-10,86,4,0,90
Andhra Pradesh,Anakapalli,2025-11,169,4,4,177
Andhra Pradesh,Anakapalli,2025-12,122,0,4,126
Andhra Pradesh,Anantapur,2025-09,1266,122,0,1388
Andhra Pradesh,Anantapur,2025-10,979,80,0,1059
Andhra Pradesh,Anantapur,2025-11,1232,88,0,1320
Andhra Pradesh,Anantapur,2025-12,612,36,0,648
Andhra Pradesh,Ananthapur,2025-09,521,50,0,571
Andhra Pradesh,Ananthapur,2025-10,418,39,0,457
Andhra Pradesh,Ananthapur,2025-11,476,34,0,510
Andhra Pradesh,Ananthapur,2025-12,428,28,0,456
Andhra Pradesh,Ananthapuramu,2025-09,917,52,4,973
Andhra Pradesh,Ananthapuramu,2025-10,669,42,1,712
Andhra Pradesh,Ananthapuramu,2025-11,829,41,3,873
Andhra Pradesh,Ananthapuramu,2025-12,603,24,2,629
Andhra Pradesh,Annamayya,2025-09,244,14,48,306
Andhra Pradesh,Annamayya,2025-10,164,15,6,185
Andhra Pradesh,Annamayya,2025-11,250,11,30,291
Andhra Pradesh,Annamayya,2025-12,210,8,21,239
Andhra Pradesh,Bapatla,2025-09,113,18,3,134
Andhra Pradesh,Bapatla,2025-10,75,11,2,88
Andhra Pradesh,Bapatla,2025-11,133,13,6,152
Andhra Pradesh,Bapatla,2025-12,100,13,5,118
Andhra Pradesh,Chittoor,2025-09,2314,246,12,2572
Andhra Pradesh,Chittoor,2025-10,1618,165,5,1788
Andhra Pradesh,Chittoor,2025-11,2143,170,13,2326
Andhra Pradesh,Chittoor,2025-12,1418,78,13,1509
Andhra Pradesh,Cuddapah,2025-09,1561,162,0,1723
Andhra Pradesh,Cuddapah,2025-10,1206,83,0,1289
Andhra Pradesh,Cuddapah,2025-11,1604,115,1,1720
Andhra Pradesh,Cuddapah,2025-12,1148,53,1,1202
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,199,12,9,220
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,99,9,1,109
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,179,7,4,190
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,141,2,3,146
Andhra Pradesh,East Godavari,2025-09,2291,209,3,2503
Andhra Pradesh,East Godavari,2025-10,1361,126,1,1488
Andhra Pradesh,East Godavari,2025-11,2041,116,5,2162
Andhra Pradesh,East Godavari,2025-12,1468,56,1,1525
Andhra Pradesh,Eluru,2025-09,165,16,1,182
Andhra Pradesh,Eluru,2025-10,100,10,1,111
Andhra Pradesh,Eluru,2025-11,180,13,10,203
Andhra Pradesh,Eluru,2025-12,123,6,4,133
Andhra Pradesh,Guntur,2025-09,2402,337,9,2748
Andhra Pradesh,Guntur,2025-10,1514,219,1,1734
Andhra Pradesh,Guntur,2025-11,2698,257,14,2969
Andhra Pradesh,Guntur,2025-12,2155,112,11,2278
Andhra Pradesh,Hyderabad,2025-09,1151,339,1,1491
Andhra Pradesh,Hyderabad,2025-10,967,280,0,1247
Andhra Pradesh,Hyderabad,2025-11,1083,284,0,1367
Andhra Pradesh,Hyderabad,2025-12,630,105,0,735
Andhra Pradesh,K.V.Rangareddy,2025-09,26,3,0,29
Andhra Pradesh,K.V.Rangareddy,2025-10,11,6,0,17
Andhra Pradesh,K.V.Rangareddy,2025-11,12,3,0,15
Andhra Pradesh,K.V.Rangareddy,2025-12,6,2,0,8
Andhra Pradesh,K.v. Rangareddy,2025-09,6,1,0,7
Andhra Pradesh,K.v. Rangareddy,2025-10,5,3,0,8
Andhra Pradesh,K.v. Rangareddy,2025-11,1,0,0,1
Andhra Pradesh,K.v. Rangareddy,2025-12,3,0,0,3
Andhra Pradesh,Kakinada,2025-09,238,24,9,271
Andhra Pradesh,Kakinada,2025-10,169,28,2,199
Andhra Pradesh,Kakinada,2025-11,246,19,11,276
Andhra Pradesh,Kakinada,2025-12,205,13,5,223
Andhra Pradesh,Karim Nagar,2025-09,20,4,0,24
Andhra Pradesh,Karim Nagar,2025-10,21,4,0,25
Andhra Pradesh,Karim Nagar,2025-11,19,3,0,22
Andhra Pradesh,Karim Nagar,2025-12,11,0,0,11
Andhra Pradesh,Karimnagar,2025-09,225,50,0,275
Andhra Pradesh,Karimnagar,2025-10,143,24,0,167
Andhra Pradesh,Karimnagar,2025-11,119,21,0,140
Andhra Pradesh,Karimnagar,2025-12,65,12,0,77
Andhra Pradesh,Khammam,2025-09,340,119,0,459
Andhra Pradesh,Khammam,2025-10,201,59,0,260
Andhra Pradesh,Khammam,2025-11,227,72,0,299
Andhra Pradesh,Khammam,2025-12,101,14,0,115
Andhra Pradesh,Krishna,2025-09,1995,207,7,2209
Andhra Pradesh,Krishna,2025-10,1127,140,3,1270
Andhra Pradesh,Krishna,2025-11,1741,128,18,1887
Andhra Pradesh,Krishna,2025-12,1300,65,6,1371
Andhra Pradesh,Kurnool,2025-09,3164,308,9,3481
Andhra Pradesh,Kurnool,2025-10,2561,212,2,2775
Andhra Pradesh,Kurnool,2025-11,2965,194,6,3165
Andhra Pradesh,Kurnool,2025-12,2233,109,7,2349
Andhra Pradesh,Mahabub Nagar,2025-09,472,200,0,672
Andhra Pradesh,Mahabub Nagar,2025-10,270,102,0,372
Andhra Pradesh,Mahabub Nagar,2025-11,231,106,0,337
Andhra Pradesh,Mahabub Nagar,2025-12,106,24,0,130
Andhra Pradesh,Mahabubnagar,2025-09,3,0,0,3
Andhra Pradesh,Mahabubnagar,2025-10,1,0,0,1
Andhra Pradesh,Mahabubnagar,2025-12,3,0,0,3
Andhra Pradesh,Mahbubnagar,2025-09,202,85,0,287
Andhra Pradesh,Mahbubnagar,2025-10,124,65,0,189
Andhra Pradesh,Mahbubnagar,2025-11,129,43,0,172
Andhra Pradesh,Mahbubnagar,2025-12,56,18,0,74
Andhra Pradesh,Medak,2025-09,465,84,1,550
Andhra Pradesh,Medak,2025-10,277,67,0,344
Andhra Pradesh,Medak,2025-11,288,66,0,354
Andhra Pradesh,Medak,2025-12,146,12,0,158
Andhra Pradesh,N. T. R,2025-09,242,36,17,295
Andhra Pradesh,N. T. R,2025-10,149,20,5,174
Andhra Pradesh,N. T. R,2025-11,218,31,18,267
Andhra Pradesh,N. T. R,2025-12,181,10,6,197
Andhra Pradesh,Nalgonda,2025-09,385,99,0,484
Andhra Pradesh,Nalgonda,2025-10,240,50,0,290
Andhra Pradesh,Nalgonda,2025-11,226,53,0,279
Andhra Pradesh,Nalgonda,2025-12,100,14,0,114
Andhra Pradesh,Nandyal,2025-09,221,6,3,230
Andhra Pradesh,Nandyal,2025-10,194,16,0,210
Andhra Pradesh,Nandyal,2025-11,264,12,2,278
Andhra Pradesh,Nandyal,2025-12,181,5,1,187
Andhra Pradesh,Nellore,2025-09,1477,292,2,1771
Andhra Pradesh,Nellore,2025-10,884,174,0,1058
Andhra Pradesh,Nellore,2025-11,1311,202,0,1513
Andhra Pradesh,Nellore,2025-12,939,86,0,1025
Andhra Pradesh,Nizamabad,2025-09,167,28,0,195
Andhra Pradesh,Nizamabad,2025-10,138,19,0,157
Andhra Pradesh,Nizamabad,2025-11,104,21,0,125
Andhra Pradesh,Nizamabad,2025-12,44,3,0,47
Andhra Pradesh,Palnadu,2025-09,239,34,11,284
Andhra Pradesh,Palnadu,2025-10,148,17,1,166
Andhra Pradesh,Palnadu,2025-11,167,14,7,188
Andhra Pradesh,Palnadu,2025-12,205,11,6,222
Andhra Pradesh,Parvathipuram Manyam,2025-09,162,11,4,177
Andhra Pradesh,Parvathipuram Manyam,2025-10,103,14,2,119
Andhra Pradesh,Parvathipuram Manyam,2025-11,106,9,0,115
Andhra Pradesh,Parvathipuram Manyam,2025-12,93,2,2,97
Andhra Pradesh,Prakasam,2025-07,91,108,38,237
Andhra Pradesh,Prakasam,2025-09,2197,479,13,2689
Andhra Pradesh,Prakasam,2025-10,1290,217,2,1509
Andhra Pradesh,Prakasam,2025-11,1633,246,5,1884
Andhra Pradesh,Prakasam,2025-12,1194,107,3,1304
Andhra Pradesh,Rangareddi,2025-09,502,132,0,634
Andhra Pradesh,Rangareddi,2025-10,355,120,0,475
Andhra Pradesh,Rangareddi,2025-11,375,122,0,497
Andhra Pradesh,Rangareddi,2025-12,246,31,0,277
Andhra Pradesh,Spsr Nellore,2025-03,43,44,29,116
Andhra Pradesh,Spsr Nellore,2025-06,742,405,201,1348
Andhra Pradesh,Spsr Nellore,2025-07,382,264,73,719
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,251,224,83,558
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,128,134,70,332
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,195,187,103,485
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,115,77,47,239
Andhra Pradesh,Sri Sathya Sai,2025-09,240,14,9,263
Andhra Pradesh,Sri Sathya Sai,2025-10,200,9,1,210
Andhra Pradesh,Sri Sathya Sai,2025-11,239,13,3,255
Andhra Pradesh,Sri Sathya Sai,2025-12,200,4,6,210
Andhra Pradesh,Srikakulam,2025-09,1339,53,5,1397
Andhra Pradesh,Srikakulam,2025-10,861,34,1,896
Andhra Pradesh,Srikakulam,2025-11,1185,34,0,1219
Andhra Pradesh,Srikakulam,2025-12,772,14,2,788
Andhra Pradesh,Tirupati,2025-09,223,310,84,617
Andhra Pradesh,Tirupati,2025-10,130,83,20,233
Andhra Pradesh,Tirupati,2025-11,223,209,76,508
Andhra Pradesh,Tirupati,2025-12,226,87,48,361
Andhra Pradesh,Visakhapatanam,2025-06,186,28,12,226
Andhra Pradesh,Visakhapatnam,2025-09,2358,185,8,2551
Andhra Pradesh,Visakhapatnam,2025-10,1525,88,1,1614
Andhra Pradesh,Visakhapatnam,2025-11,2065,124,14,2203
Andhra Pradesh,Visakhapatnam,2025-12,1740,63,7,1810
Andhra Pradesh,Vizianagaram,2025-09,1220,72,2,1294
Andhra Pradesh,Vizianagaram,2025-10,739,40,0,779
Andhra Pradesh,Vizianagaram,2025-11,1012,33,1,1046
Andhra Pradesh,Vizianagaram,2025-12,724,13,0,737
Andhra Pradesh,Warangal,2025-09,329,60,0,389
Andhra Pradesh,Warangal,2025-10,231,63,0,294
Andhra Pradesh,Warangal,2025-11,193,58,0,251
Andhra Pradesh,Warangal,2025-12,105,20,0,125
Andhra Pradesh,West Godavari,2025-09,1871,128,6,2005
Andhra Pradesh,West Godavari,2025-10,1015,91,6,1112
Andhra Pradesh,West Godavari,2025-11,1579,89,7,1675
Andhra Pradesh,West Godavari,2025-12,1103,35,5,1143
Andhra Pradesh,Y. S. R,2025-09,213,30,8,251
Andhra Pradesh,Y. S. R,2025-10,151,6,1,158
Andhra Pradesh,Y. S. R,2025-11,228,13,10,251
Andhra Pradesh,Y. S. R,2025-12,146,3,14,163
Arunachal Pradesh,Anjaw,2025-09,16,5,0,21
Arunachal Pradesh,Anjaw,2025-10,1,2,0,3
Arunachal Pradesh,Anjaw,2025-11,3,4,3,10
Arunachal Pradesh,Anjaw,2025-12,3,0,0,3
Arunachal Pradesh,Changlang,2025-09,288,136,5,429
Arunachal Pradesh,Changlang,2025-10,76,117,1,194
Arunachal Pradesh,Changlang,2025-11,66,45,7,118
Arunachal Pradesh,Changlang,2025-12,56,6,0,62
Arunachal Pradesh,Dibang Valley,2025-09,2,2,0,4
Arunachal Pradesh,Dibang Valley,2025-10,3,1,0,4
Arunachal Pradesh,Dibang Valley,2025-11,1,0,0,1
Arunachal Pradesh,Dibang Valley,2025-12,1,0,0,1
Arunachal Pradesh,East Kameng,2025-09,47,29,0,76
Arunachal Pradesh,East Kameng,2025-10,18,21,0,39
Arunachal Pradesh,East Kameng,2025-11,14,16,14,44
Arunachal Pradesh,East Kameng,2025-12,9,13,0,22
Arunachal Pradesh,East Siang,2025-09,29,27,0,56
Arunachal Pradesh,East Siang,2025-10,21,21,0,42
Arunachal Pradesh,East Siang,2025-11,23,29,2,54
Arunachal Pradesh,East Siang,2025-12,7,9,0,16
Arunachal Pradesh,Kamle,2025-09,2,18,0,20
Arunachal Pradesh,Kamle,2025-10,0,1,0,1
Arunachal Pradesh,Kamle,2025-11,0,5,2,7
Arunachal Pradesh,Kamle,2025-12,1,1,0,2
Arunachal Pradesh,Kra Daadi,2025-09,7,27,0,34
Arunachal Pradesh,Kra Daadi,2025-10,7,15,0,22
Arunachal Pradesh,Kra Daadi,2025-11,3,9,4,16
Arunachal Pradesh,Kra Daadi,2025-12,1,8,0,9
Arunachal Pradesh,Kurung Kumey,2025-09,7,19,0,26
Arunachal Pradesh,Kurung Kumey,2025-10,7,11,0,18
Arunachal Pradesh,Kurung Kumey,2025-11,3,12,12,27
Arunachal Pradesh,Kurung Kumey,2025-12,2,2,0,4
Arunachal Pradesh,Leparada,2025-09,0,1,0,1
Arunachal Pradesh,Leparada,2025-11,0,0,1,1
Arunachal Pradesh,Leparada,2025-12,0,1,0,1
Arunachal Pradesh,Lohit,2025-09,30,18,0,48
Arunachal Pradesh,Lohit,2025-10,18,23,0,41
Arunachal Pradesh,Lohit,2025-11,17,11,1,29
Arunachal Pradesh,Lohit,2025-12,37,11,0,48
Arunachal Pradesh,Longding,2025-07,46,322,33,401
Arunachal Pradesh,Longding,2025-09,61,269,0,330
Arunachal Pradesh,Longding,2025-10,12,59,0,71
Arunachal Pradesh,Longding,2025-11,17,63,4,84
Arunachal Pradesh,Longding,2025-12,5,6,0,11
Arunachal Pradesh,Lower Dibang Valley,2025-09,24,19,0,43
Arunachal Pradesh,Lower Dibang Valley,2025-10,17,11,0,28
