state,district,date,month_date,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,enrolments,total_demo_updates,total_bio_updates,total_enrolment_prev_1,total_demo_updates_prev_1,total_bio_updates_prev_1,enrolment_diff_1,demo_updates_diff_1,bio_updates_diff_1,year,month,target_enrolment_next_month,lag_1,lag_2,lag_3,lag_6,lag_12,roll_3m_mean,roll_3m_median,roll_3m_std,roll_6m_mean,roll_6m_median,roll_6m_std,has_full_history
Andaman & Nicobar Islands,Andamans,2025-10,2025-10-01,15.0,0.0,0.0,2.0,73.0,43.0,139.0,15.0,75.0,182.0,27.0,162.0,317.0,-12.0,-87.0,-135.0,2025,10,13.0,,,,,,,,,,,,False
Andaman & Nicobar Islands,Andamans,2025-11,2025-11-01,13.0,0.0,0.0,0.0,212.0,48.0,174.0,13.0,212.0,222.0,15.0,75.0,182.0,-2.0,137.0,40.0,2025,11,20.0,15.0,,,,,15.0,15.0,,15.0,15.0,,True
Andaman & Nicobar Islands,South Andaman,2025-09,2025-09-01,15.0,0.0,0.0,3.0,69.0,24.0,87.0,15.0,72.0,111.0,58.0,403.0,1330.0,-43.0,-331.0,-1219.0,2025,9,29.0,,,,,,,,,,,,False
Andaman & Nicobar Islands,South Andaman,2025-10,2025-10-01,7.0,0.0,0.0,1.0,38.0,16.0,54.0,7.0,39.0,70.0,29.0,359.0,732.0,-22.0,-320.0,-662.0,2025,10,48.0,15.0,,,,,15.0,15.0,,15.0,15.0,,True
Andaman & Nicobar Islands,South Andaman,2025-11,2025-11-01,8.0,0.0,0.0,1.0,103.0,10.0,71.0,8.0,104.0,81.0,48.0,824.0,748.0,-40.0,-720.0,-667.0,2025,11,55.0,7.0,15.0,,,,11.0,11.0,5.656854249492381,11.0,11.0,5.656854249492381,True
Andaman and Nicobar Islands,Nicobar,2025-10,2025-10-01,6.0,4.0,0.0,9.0,50.0,36.0,63.0,10.0,59.0,99.0,47.0,151.0,248.0,-37.0,-92.0,-149.0,2025,10,12.0,,,,,,,,,,,,False
Andaman and Nicobar Islands,Nicobar,2025-11,2025-11-01,12.0,0.0,0.0,5.0,105.0,132.0,58.0,12.0,110.0,190.0,10.0,59.0,99.0,2.0,51.0,91.0,2025,11,6.0,10.0,,,,,10.0,10.0,,10.0,10.0,,True
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,2025-10-01,20.0,1.0,0.0,8.0,141.0,303.0,108.0,21.0,149.0,411.0,40.0,250.0,746.0,-19.0,-101.0,-335.0,2025,10,31.0,,,,,,,,,,,,False
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,2025-11-01,31.0,0.0,0.0,21.0,294.0,467.0,114.0,31.0,315.0,581.0,21.0,149.0,411.0,10.0,166.0,170.0,2025,11,40.0,21.0,,,,,21.0,21.0,,21.0,21.0,,True
Andaman and Nicobar Islands,South Andaman,2025-10,2025-10-01,26.0,3.0,0.0,55.0,304.0,542.0,190.0,29.0,359.0,732.0,15.0,72.0,111.0,14.0,287.0,621.0,2025,10,7.0,,,,,,,,,,,,False
