state,district,year_month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
Andaman & Nicobar Islands,Andamans,2025-09,23,4,0,3,159,76,241
Andaman & Nicobar Islands,Andamans,2025-10,15,0,0,2,73,43,139
Andaman & Nicobar Islands,Andamans,2025-11,13,0,0,0,212,48,174
Andaman & Nicobar Islands,Andamans,2025-12,19,1,0,2,299,90,232
Andaman & Nicobar Islands,South Andaman,2025-09,15,0,0,3,69,24,87
Andaman & Nicobar Islands,South Andaman,2025-10,7,0,0,1,38,16,54
Andaman & Nicobar Islands,South Andaman,2025-11,8,0,0,1,103,10,71
Andaman & Nicobar Islands,South Andaman,2025-12,8,0,0,1,89,11,94
Andaman and Nicobar Islands,Nicobar,2025-09,41,6,0,2,149,93,155
Andaman and Nicobar Islands,Nicobar,2025-10,6,4,0,9,50,36,63
Andaman and Nicobar Islands,Nicobar,2025-11,12,0,0,5,105,132,58
Andaman and Nicobar Islands,Nicobar,2025-12,5,1,0,10,65,212,53
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,38,2,0,10,240,559,187
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,20,1,0,8,141,303,108
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,31,0,0,21,294,467,114
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,39,1,0,13,422,443,148
Andaman and Nicobar Islands,South Andaman,2025-09,54,4,0,59,344,1045,285
Andaman and Nicobar Islands,South Andaman,2025-10,26,3,0,55,304,542,190
Andaman and Nicobar Islands,South Andaman,2025-11,45,3,0,113,711,532,216
Andaman and Nicobar Islands,South Andaman,2025-12,53,2,0,133,1148,959,272
Andhra Pradesh,Adilabad,2025-09,523,131,0,348,5241,1108,6511
Andhra Pradesh,Adilabad,2025-10,236,71,1,459,4477,2245,5259
Andhra Pradesh,Adilabad,2025-11,286,63,0,764,6371,1420,4140
Andhra Pradesh,Adilabad,2025-12,92,16,0,635,6656,1641,4749
Andhra Pradesh,Alluri Sitharama Raju,2025-09,332,47,8,219,1349,700,711
Andhra Pradesh,Alluri Sitharama Raju,2025-10,265,26,4,195,1360,749,1270
Andhra Pradesh,Alluri Sitharama Raju,2025-11,280,32,14,307,1925,1099,1013
Andhra Pradesh,Alluri Sitharama Raju,2025-12,228,11,8,312,2082,868,1362
Andhra Pradesh,Anakapalli,2025-09,146,4,0,165,1411,111,292
Andhra Pradesh,Anakapalli,2025-10,86,4,0,240,1194,373,281
Andhra Pradesh,Anakapalli,2025-11,169,4,4,355,1788,429,303
Andhra Pradesh,Anakapalli,2025-12,122,0,4,461,3544,455,519
Andhra Pradesh,Anantapur,2025-09,1266,122,0,739,7908,1548,4191
Andhra Pradesh,Anantapur,2025-10,979,80,0,2087,7830,5574,6560
Andhra Pradesh,Anantapur,2025-11,1232,88,0,2975,11056,4338,6853
Andhra Pradesh,Anantapur,2025-12,612,36,0,2148,12850,3306,8544
Andhra Pradesh,Ananthapur,2025-09,521,50,0,384,2482,1685,1516
Andhra Pradesh,Ananthapur,2025-10,418,39,0,2069,2703,5552,2105
Andhra Pradesh,Ananthapur,2025-11,476,34,0,2695,3911,3738,2396
Andhra Pradesh,Ananthapur,2025-12,428,28,0,1924,4528,3475,3053
Andhra Pradesh,Ananthapuramu,2025-09,917,52,4,539,3291,2517,1352
Andhra Pradesh,Ananthapuramu,2025-10,669,42,1,1164,3569,7446,1540
Andhra Pradesh,Ananthapuramu,2025-11,829,41,3,1642,4973,5257,1819
Andhra Pradesh,Ananthapuramu,2025-12,603,24,2,1853,7714,5008,2574
Andhra Pradesh,Annamayya,2025-09,244,14,48,265,2058,191,385
Andhra Pradesh,Annamayya,2025-10,164,15,6,441,1920,634,326
Andhra Pradesh,Annamayya,2025-11,250,11,30,619,3002,655,372
Andhra Pradesh,Annamayya,2025-12,210,8,21,674,4436,734,605
Andhra Pradesh,Bapatla,2025-09,113,18,3,194,1372,134,182
Andhra Pradesh,Bapatla,2025-10,75,11,2,202,1004,462,171
Andhra Pradesh,Bapatla,2025-11,133,13,6,378,1765,769,203
Andhra Pradesh,Bapatla,2025-12,100,13,5,389,2537,699,298
Andhra Pradesh,Chittoor,2025-09,2314,246,12,1868,14706,5089,7068
Andhra Pradesh,Chittoor,2025-10,1618,165,5,4209,11599,19337,6698
Andhra Pradesh,Chittoor,2025-11,2143,170,13,6601,19385,22221,8662
Andhra Pradesh,Chittoor,2025-12,1418,78,13,4987,23681,12329,11265
Andhra Pradesh,Cuddapah,2025-09,1561,162,0,972,9688,3714,4701
Andhra Pradesh,Cuddapah,2025-10,1206,83,0,1967,10484,10849,5852
Andhra Pradesh,Cuddapah,2025-11,1604,115,1,3088,14164,11718,5958
Andhra Pradesh,Cuddapah,2025-12,1148,53,1,2472,15809,11700,8209
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,199,12,9,182,1790,200,309
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,99,9,1,264,1313,653,240
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,179,7,4,379,2301,941,295
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,141,2,3,449,3249,656,440
Andhra Pradesh,East Godavari,2025-09,2291,209,3,1669,17407,7385,7853
Andhra Pradesh,East Godavari,2025-10,1361,126,1,3003,13419,20988,7726
Andhra Pradesh,East Godavari,2025-11,2041,116,5,3953,20783,26682,9204
Andhra Pradesh,East Godavari,2025-12,1468,56,1,4131,28094,19540,12262
Andhra Pradesh,Eluru,2025-09,165,16,1,260,2284,215,392
Andhra Pradesh,Eluru,2025-10,100,10,1,408,1983,381,267
Andhra Pradesh,Eluru,2025-11,180,13,10,506,2896,584,285
Andhra Pradesh,Eluru,2025-12,123,6,4,518,3894,600,427
Andhra Pradesh,Guntur,2025-09,2402,337,9,1601,17049,4976,8246
Andhra Pradesh,Guntur,2025-10,1514,219,1,3160,13539,17165,8852
Andhra Pradesh,Guntur,2025-11,2698,257,14,4667,22012,21021,10826
Andhra Pradesh,Guntur,2025-12,2155,112,11,4006,25994,16537,13427
Andhra Pradesh,Hyderabad,2025-09,1151,339,1,469,4855,2138,8364
Andhra Pradesh,Hyderabad,2025-10,967,280,0,707,4033,2851,6315
Andhra Pradesh,Hyderabad,2025-11,1083,284,0,1494,7440,3097,7432
Andhra Pradesh,Hyderabad,2025-12,630,105,0,1017,9451,3287,10852
Andhra Pradesh,K.V.Rangareddy,2025-09,26,3,0,5,108,33,177
Andhra Pradesh,K.V.Rangareddy,2025-10,11,6,0,7,85,52,164
Andhra Pradesh,K.V.Rangareddy,2025-11,12,3,0,28,134,29,138
Andhra Pradesh,K.V.Rangareddy,2025-12,6,2,0,8,143,44,114
Andhra Pradesh,K.v. Rangareddy,2025-09,6,1,0,3,38,34,52
Andhra Pradesh,K.v. Rangareddy,2025-10,5,3,0,9,30,47,39
Andhra Pradesh,K.v. Rangareddy,2025-11,1,0,0,11,29,37,35
Andhra Pradesh,K.v. Rangareddy,2025-12,3,0,0,9,37,64,44
Andhra Pradesh,Kakinada,2025-09,238,24,9,307,2810,250,346
Andhra Pradesh,Kakinada,2025-10,169,28,2,370,1989,954,324
Andhra Pradesh,Kakinada,2025-11,246,19,11,576,3330,1247,382
Andhra Pradesh,Kakinada,2025-12,205,13,5,618,5004,890,536
Andhra Pradesh,Karim Nagar,2025-09,20,4,0,9,215,36,226
Andhra Pradesh,Karim Nagar,2025-10,21,4,0,14,181,82,163
Andhra Pradesh,Karim Nagar,2025-11,19,3,0,39,272,76,223
Andhra Pradesh,Karim Nagar,2025-12,11,0,0,20,401,71,275
Andhra Pradesh,Karimnagar,2025-09,225,50,0,131,1985,392,2746
Andhra Pradesh,Karimnagar,2025-10,143,24,0,193,1496,797,1494
Andhra Pradesh,Karimnagar,2025-11,119,21,0,318,2279,639,1375
Andhra Pradesh,Karimnagar,2025-12,65,12,0,232,2838,788,1607
Andhra Pradesh,Khammam,2025-09,340,119,0,652,4545,1992,2699
Andhra Pradesh,Khammam,2025-10,201,59,0,1014,4804,2726,3065
Andhra Pradesh,Khammam,2025-11,227,72,0,1671,6086,2122,2292
Andhra Pradesh,Khammam,2025-12,101,14,0,880,7323,1740,2368
Andhra Pradesh,Krishna,2025-09,1995,207,7,1394,15227,5652,9254
Andhra Pradesh,Krishna,2025-10,1127,140,3,2322,10167,13069,7233
Andhra Pradesh,Krishna,2025-11,1741,128,18,3147,16600,17877,8508
Andhra Pradesh,Krishna,2025-12,1300,65,6,2915,20592,11541,10526
Andhra Pradesh,Kurnool,2025-09,3164,308,9,1604,12731,7839,9118
Andhra Pradesh,Kurnool,2025-10,2561,212,2,3142,11947,23968,10978
Andhra Pradesh,Kurnool,2025-11,2965,194,6,5494,18679,21105,11578
Andhra Pradesh,Kurnool,2025-12,2233,109,7,5284,22402,18073,14045
Andhra Pradesh,Mahabub Nagar,2025-09,472,200,0,64,3115,128,3755
Andhra Pradesh,Mahabub Nagar,2025-10,270,102,0,68,2547,174,3184
Andhra Pradesh,Mahabub Nagar,2025-11,231,106,0,183,3230,162,2468
Andhra Pradesh,Mahabub Nagar,2025-12,106,24,0,103,3293,105,2423
Andhra Pradesh,Mahabubnagar,2025-09,3,0,0,0,11,11,31
Andhra Pradesh,Mahabubnagar,2025-10,1,0,0,4,15,14,20
Andhra Pradesh,Mahabubnagar,2025-12,3,0,0,3,28,8,18
Andhra Pradesh,Mahbubnagar,2025-09,202,85,0,129,1847,299,1922
Andhra Pradesh,Mahbubnagar,2025-10,124,65,0,232,1517,540,1789
Andhra Pradesh,Mahbubnagar,2025-11,129,43,0,480,2102,452,1429
Andhra Pradesh,Mahbubnagar,2025-12,56,18,0,244,2044,375,1784
Andhra Pradesh,Medak,2025-09,465,84,1,213,2032,843,2763
Andhra Pradesh,Medak,2025-10,277,67,0,323,1713,1051,2312
Andhra Pradesh,Medak,2025-11,288,66,0,583,2990,924,1929
Andhra Pradesh,Medak,2025-12,146,12,0,377,3130,989,2019
Andhra Pradesh,N. T. R,2025-09,242,36,17,416,3627,329,638
Andhra Pradesh,N. T. R,2025-10,149,20,5,457,2417,711,442
Andhra Pradesh,N. T. R,2025-11,218,31,18,731,4631,879,484
Andhra Pradesh,N. T. R,2025-12,181,10,6,772,6019,661,617
Andhra Pradesh,Nalgonda,2025-09,385,99,0,181,5811,490,4210
Andhra Pradesh,Nalgonda,2025-10,240,50,0,295,5097,992,4806
Andhra Pradesh,Nalgonda,2025-11,226,53,0,663,8156,859,3644
Andhra Pradesh,Nalgonda,2025-12,100,14,0,338,6917,933,3577
Andhra Pradesh,Nandyal,2025-09,221,6,3,217,1555,220,388
Andhra Pradesh,Nandyal,2025-10,194,16,0,299,1512,855,407
