state,district,year_month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
Kerala,Ernakulam,2025-12,679.0,243.0,87.0,1282.0,16957.0,8645.0,8794.0
Madhya Pradesh,Chhindwara,2025-12,1813.0,100.0,2.0,1446.0,8951.0,11688.0,9179.0
Madhya Pradesh,Satna,2025-12,1845.0,281.0,58.0,1640.0,10514.0,11263.0,9590.0
Madhya Pradesh,Tikamgarh,2025-12,1507.0,263.0,8.0,1324.0,7964.0,6769.0,6616.0
Maharashtra,Beed,2025-12,881.0,93.0,18.0,1924.0,21465.0,16845.0,12408.0
Maharashtra,Gondia,2025-12,5.0,0.0,0.0,0.0,176.0,6.0,172.0
Meghalaya,South West Khasi Hills,2025-12,10.0,27.0,12.0,41.0,252.0,134.0,120.0
Nagaland,Chumukedima,2025-12,5.0,6.0,0.0,35.0,222.0,58.0,20.0
Nagaland,Mon,2025-12,12.0,47.0,2.0,130.0,671.0,355.0,561.0
Odisha,Sundargarh,2025-12,88.0,14.0,0.0,121.0,1958.0,361.0,1505.0
Punjab,Moga,2025-12,201.0,17.0,0.0,142.0,3729.0,2920.0,3483.0
Punjab,Nawanshahr,2025-12,28.0,3.0,0.0,3.0,785.0,67.0,1205.0
Punjab,S.A.S Nagar(Mohali),2025-12,44.0,4.0,0.0,9.0,698.0,36.0,433.0
Rajasthan,Bhilwara,2025-12,1107.0,516.0,24.0,1997.0,15518.0,9678.0,11275.0
Rajasthan,Didwana-Kuchaman,2025-12,2.0,0.0,0.0,57.0,559.0,1.0,5.0
Rajasthan,Sikar,2025-12,1035.0,548.0,2.0,2146.0,13690.0,9519.0,9828.0
Andhra Pradesh,Adilabad,2025-12,92.0,16.0,0.0,635.0,6656.0,1641.0,4749.0
Andhra Pradesh,Alluri Sitharama Raju,2025-12,228.0,11.0,8.0,312.0,2082.0,868.0,1362.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,141.0,2.0,3.0,449.0,3249.0,656.0,440.0
Andhra Pradesh,Krishna,2025-12,1300.0,65.0,6.0,2915.0,20592.0,11541.0,10526.0
Andhra Pradesh,Mahbubnagar,2025-12,56.0,18.0,0.0,244.0,2044.0,375.0,1784.0
Andhra Pradesh,Sri Sathya Sai,2025-12,200.0,4.0,6.0,765.0,4482.0,474.0,705.0
Jharkhand,Garhwa,2025-12,868.0,236.0,1.0,1066.0,9124.0,4837.0,5736.0
Jharkhand,Latehar,2025-12,366.0,131.0,1.0,918.0,7380.0,2246.0,2569.0
Karnataka,Bijapur,2025-12,660.0,125.0,1.0,855.0,6264.0,3103.0,4208.0
Karnataka,Davangere,2025-12,1513.0,65.0,3.0,877.0,5686.0,4535.0,3800.0
Arunachal Pradesh,West Kameng,2025-12,16.0,5.0,0.0,77.0,343.0,816.0,240.0
Bihar,Sheohar,2025-12,601.0,336.0,4.0,546.0,5189.0,1841.0,2876.0
Chhattisgarh,Bilaspur,2025-12,1077.0,163.0,1.0,3045.0,27944.0,22664.0,15268.0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12,33.0,16.0,0.0,246.0,1659.0,15.0,54.0
Chhattisgarh,Raipur,2025-12,960.0,69.0,4.0,1792.0,17143.0,23968.0,17430.0
Delhi,East Delhi,2025-12,830.0,134.0,6.0,1313.0,14908.0,5509.0,5376.0
Delhi,South West Delhi,2025-12,1145.0,192.0,34.0,1969.0,18300.0,7273.0,5902.0
Gujarat,Ahmadabad,2025-12,125.0,31.0,0.0,42.0,2666.0,150.0,2700.0
Haryana,Kaithal,2025-12,497.0,10.0,0.0,508.0,4336.0,3771.0,4896.0
Haryana,Yamuna Nagar,2025-12,674.0,15.0,0.0,798.0,7088.0,4903.0,7278.0
Orissa,Jajapur,2025-12,19.0,2.0,0.0,25.0,165.0,21.0,93.0
Pondicherry,Karaikal,2025-12,17.0,0.0,0.0,7.0,268.0,31.0,501.0
Tamil Nadu,Krishnagiri,2025-12,899.0,170.0,2.0,1896.0,11607.0,10275.0,5995.0
Tamil Nadu,Namakkal,2025-12,620.0,85.0,2.0,2267.0,9225.0,8789.0,7603.0
Tamil Nadu,Thanjavur,2025-12,1152.0,262.0,4.0,2883.0,14404.0,16312.0,9827.0
Tamil Nadu,Thiruvarur,2025-12,677.0,116.0,0.0,1400.0,8612.0,9147.0,4774.0
Uttar Pradesh,Bulandshahr,2025-12,1498.0,1028.0,21.0,3192.0,29401.0,13005.0,6475.0
Uttar Pradesh,Kanpur Nagar,2025-12,1301.0,1105.0,45.0,2699.0,38705.0,9186.0,9461.0
Uttar Pradesh,Shamli,2025-12,1033.0,369.0,15.0,1327.0,12983.0,6549.0,7484.0
Uttar Pradesh,Varanasi,2025-12,1088.0,883.0,22.0,2797.0,39579.0,11682.0,12493.0
Uttarakhand,Nainital,2025-12,442.0,43.0,8.0,982.0,7850.0,13288.0,6488.0
West Bengal,Malda,2025-12,2026.0,575.0,42.0,3376.0,29762.0,5678.0,5797.0
Tamil Nadu,Tiruvannamalai,2025-12,1052.0,53.0,8.0,1666.0,11283.0,10805.0,6171.0
Telangana,Nizamabad,2025-12,702.0,70.0,4.0,1770.0,9667.0,11434.0,5260.0
Telangana,Wanaparthy,2025-12,183.0,34.0,0.0,630.0,3330.0,680.0,369.0
Tripura,West Tripura,2025-12,378.0,114.0,3.0,857.0,9882.0,4219.0,4437.0
Assam,Charaideo,2025-12,87.0,35.0,19.0,164.0,1838.0,541.0,292.0
Madhya Pradesh,Datia,2025-11,912.0,306.0,3.0,408.0,3503.0,1548.0,1627.0
Madhya Pradesh,Dindori,2025-11,424.0,51.0,1.0,352.0,2138.0,1462.0,1409.0
Madhya Pradesh,Mandsaur,2025-11,3253.0,225.0,9.0,655.0,4922.0,1916.0,3120.0
Madhya Pradesh,Shahdol,2025-11,915.0,143.0,42.0,495.0,4175.0,2298.0,3060.0
Madhya Pradesh,Umaria,2025-11,1003.0,161.0,8.0,236.0,2032.0,1330.0,1587.0
Maharashtra,Bid,2025-11,105.0,31.0,0.0,32.0,5874.0,48.0,1991.0
Maharashtra,Osmanabad,2025-11,751.0,94.0,0.0,734.0,53026.0,6138.0,10435.0
Maharashtra,Sindhudurg,2025-11,373.0,19.0,15.0,330.0,11839.0,3234.0,4161.0
Meghalaya,South West Garo Hills,2025-11,76.0,61.0,59.0,71.0,645.0,361.0,147.0
Mizoram,Kolasib,2025-11,38.0,6.0,4.0,48.0,343.0,212.0,88.0
Andhra Pradesh,Guntur,2025-11,2698.0,257.0,14.0,4667.0,22012.0,21021.0,10826.0
Andhra Pradesh,K.V.Rangareddy,2025-11,12.0,3.0,0.0,28.0,134.0,29.0,138.0
Arunachal Pradesh,West Siang,2025-11,21.0,21.0,2.0,67.0,425.0,1100.0,80.0
Assam,Nagaon,2025-11,1319.0,509.0,65.0,1154.0,15419.0,4818.0,8439.0
Assam,Sibsagar,2025-11,419.0,126.0,108.0,242.0,3230.0,953.0,342.0
Assam,South Salmara Mankachar,2025-11,216.0,76.0,14.0,147.0,2079.0,431.0,215.0
Bihar,Aurangabad(bh),2025-11,10.0,20.0,0.0,6.0,171.0,7.0,61.0
Bihar,Begusarai,2025-11,1886.0,1100.0,9.0,2382.0,21948.0,5251.0,6647.0
Bihar,Bhagalpur,2025-11,2131.0,1533.0,8.0,2447.0,23114.0,5794.0,7989.0
Bihar,Purnia,2025-11,1654.0,1061.0,20.0,1756.0,24150.0,4603.0,10085.0
Bihar,West Champaran,2025-11,1500.0,2831.0,143.0,3296.0,45594.0,5295.0,8406.0
Tamil Nadu,Tiruvallur,2025-11,2541.0,1014.0,24.0,4128.0,21465.0,21206.0,10779.0
Tamil Nadu,Vellore,2025-11,2176.0,460.0,11.0,3354.0,17018.0,17790.0,10949.0
Tamil Nadu,Virudhunagar,2025-11,1351.0,226.0,3.0,2580.0,10138.0,14230.0,7248.0
Telangana,Hyderabad,2025-11,3632.0,821.0,139.0,4887.0,23907.0,19599.0,8250.0
Telangana,Komaram Bheem,2025-11,207.0,43.0,0.0,862.0,4903.0,968.0,439.0
Telangana,Peddapalli,2025-11,125.0,10.0,1.0,243.0,1895.0,370.0,380.0
Telangana,Yadadri.,2025-11,338.0,48.0,1.0,684.0,4829.0,1529.0,464.0
Tripura,South Tripura,2025-11,353.0,268.0,4.0,552.0,4787.0,2964.0,3699.0
Uttar Pradesh,Banda,2025-11,811.0,674.0,17.0,925.0,15568.0,6399.0,4025.0
Uttar Pradesh,Budaun,2025-11,1480.0,1104.0,53.0,1958.0,25552.0,9982.0,4162.0
Uttar Pradesh,Deoria,2025-11,1013.0,1184.0,37.0,2152.0,18239.0,8340.0,6291.0
