state,mae,mape,count,mean_actual,mean_predicted,bias
ANDHRA PRADESH,1046.677007118861,58.64907725125162,6,1360.8333333333333,331.4965,-1029.3368428548176
BIHAR,1034.03125,46.141510486390004,1,2241.0,1206.9688,-1034.03125
WEST BENGAL,785.7387142557164,914.0904970824664,46,1138.141304347826,605.94934,-532.1919635275135
RAJASTHAN,731.386555496015,50.251543894325835,38,1394.3684210526317,727.10596,-667.2624640213817
UTTAR PRADESH,605.5921397168061,69.72441335063085,87,1353.0,852.729,-500.27099609375
JAMMU AND KASHMIR,590.2622477213541,26304.687226439095,6,293.0,794.30225,501.30224609375
TELANGANA,436.73280652364093,3843.2576460919663,42,215.47619047619048,647.3581,431.88190278552827
ODISHA,389.00288259571994,7399.96195342288,29,278.7241379310345,546.6496,267.9254592369343
TAMIL NADU,330.12370086297756,46.85680408701155,41,877.4634146341464,781.9865,-95.47690340367762
PUNJAB,224.60001340119734,701.4430758612544,23,295.1304347826087,480.1635,185.03307840098506
CHHATTISGARH,211.18460083007812,87.6511321751636,2,618.5,753.145,134.64501953125
UTTARAKHAND,192.01961975097657,123.34603488631076,15,407.06666666666666,496.28137,89.21470540364584
KARNATAKA,169.57269287109375,15.373770885865254,1,1103.0,933.4273,-169.57269287109375
PUDUCHERRY,154.1082763671875,8741.17151457688,2,29.5,183.60828,154.1082763671875
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,78.09157943725586,644.22811285097,3,10.166666666666666,88.25825,78.09158070882161
LADAKH,76.50375461578369,59.53147906078145,2,93.5,161.62122,68.1212158203125
TRIPURA,73.55088191562228,43.581598071557686,9,242.88888888888889,309.31204,66.42315334743924
SIKKIM,48.48544189665053,480.56419299163747,9,12.555555555555555,59.496223,46.940667894151474
ANDAMAN AND NICOBAR ISLANDS,41.63031768798828,520.3789710998535,1,8.0,49.630318,41.63031768798828
